Species	Source
Scorpaenodes xyris	Local_csv
Taenianotus triacanthus	Local_csv
Trachyscorpia osheri	Local_csv
Ectreposebastes imus	Local_csv
Prionotus miles	Local_csv
Pontinus sp. A	Local_csv
Pontinus sp. B	Local_csv
Pontinus sp. C	Local_csv
Pontinus strigatus	Local_csv
Pontinus vaughani	Local_csv
Scorpaenodes rubrivinctus	Local_csv
Idiastion hageyi	Local_csv
Scorpaena cocosensis	Local_csv
Bellator farrago	Local_csv
Prionotus albirostris	Local_csv
Prionotus stephanophrys	Local_csv
Astronesthes galapagensis	Local_csv
Bathophilus filifer	Local_csv
Aulostomus chinensis	Local_csv
Fistularia commersonii	Local_csv
Hippocampus ingens	Local_csv
Bryx veleronis	Local_csv
Cosmocampus arctus	Local_csv
Doryrhamphus excisus	Local_csv
Balistes polylepis	Local_csv
Melichthys niger	Local_csv
Melichthys vidua	Local_csv
Sufflamen verres	Local_csv
Xanthichthys caeruleolineatus	Local_csv
Xanthichthys mento	Local_csv
Diodon holocanthus	Local_csv
Diodon hystrix	Local_csv
Mola mola	Local_csv
Mola ramsayi	Local_csv
Ranzania laevis	Local_csv
Aluterus scriptus	Local_csv
Ostracion meleagris	Local_csv
Arothron hispidus	Local_csv
Arothron meleagris	Local_csv
Canthigaster punctatissima	Local_csv
Pseudobalistes naufragium	Local_csv
Chilomycterus reticulatus	Local_csv
Cyclichthys spilostylus	Local_csv
Diodon eydouxii	Local_csv
Masturus lanceolatus	Local_csv
Aluterus monoceros	Local_csv
Cantherhines dumerilii	Local_csv
Lactoria diaphana	Local_csv
Lagocephalus lagocephalus	Local_csv
Canthigaster amboinensis	Local_csv
Canthigaster janthinoptera	Local_csv
Canthigaster valentini	Local_csv
Arothron nigropunctatus	Local_csv
Sphoeroides angusticeps	Local_csv
Sphoeroides annulatus	Local_csv
Sphoeroides lobatus	Local_csv
Carcharhinus albimarginatus	Local_csv
Carcharhinus falciformis	Local_csv
Carcharhinus galapagensis	Local_csv
Galeocerdo cuvier	Local_csv
Nasolamia velox	Local_csv
Prionace glauca	Local_csv
Carcharhinus altimus	Local_csv
Carcharhinus longimanus	Local_csv
Carcharhinus plumbeus	Local_csv
Apristurus kampae	Local_csv
Sphyrna lewini	Local_csv
Sphyrna mokarran	Local_csv
Sphyrna tiburo	Local_csv
Mustelus sp. nov.	Local_csv
Triakis maculata	Local_csv
Carcharhinus amblyrhynchos	Local_csv
Carcharhinus leucas	Local_csv
Carcharhinus limbatus	Local_csv
Triaenodon obesus	Local_csv
Sphyrna zygaena	Local_csv
Mustelus albipinnis	Local_csv
Mustelus mento	Local_csv
Heterodontus mexicanus	Local_csv
Heterodontus quoyi	Local_csv
Alopias pelagicus	Local_csv
Alopias superciliosus	Local_csv
Odontaspis ferox	Local_csv
Carcharodon carcharias	Local_csv
Isurus oxyrinchus	Local_csv
Rhincodon typus	Local_csv
Dasyatis brevis	Local_csv
Dasyatis dipterura	Local_csv
Dasyatis longa	Local_csv
Himantura pacifica	Local_csv
Pteroplatytrygon violacea	Local_csv
Taeniura meyeni	Local_csv
Myliobatis californica	Local_csv
Pteromylaeus asperrimus	Local_csv
Manta birostris	Local_csv
Mobula japanica	Local_csv
Mobula munkiana	Local_csv
Mobula tarapacana	Local_csv
Aetobatus narinari	Local_csv
Myliobatis peruvianus	Local_csv
Rhinoptera steindachneri	Local_csv
Bathyraja spinosissima	Local_csv
Gurgesiella furvescens	Local_csv
Raja velezi	Local_csv
Rajella eisenhardti	Local_csv
Rhinobatos planiceps	Local_csv
Centrophorus squamosus	Local_csv
Centroscyllium nigrum	Local_csv
Isistius brasiliensis	Local_csv
Echinorhinus cookei	Local_csv
Narcine entemedor	Local_csv
Torpedo peruana	Local_csv
Torpedo tremens	Local_csv
Hydrolagus alphus	Local_csv
Hydrolagus mccoskeri	Local_csv
Branchiostoma elongatum	Local_csv
Eptatretus grouseri	Local_csv
Eptatretus mccoskeri	Local_csv
Eptatretus wisneri	Local_csv
Eptatretus lakeside	Local_csv
Epinephelus labriformis	OBIS
Holacanthus passer	OBIS
Mycteroperca olfax	OBIS
Scarus ghobban	OBIS
Bodianus diplotaenia	OBIS
Thalassoma lucasanum	OBIS
Johnrandallia nigrirostris	OBIS
Sufflamen verres	OBIS
Ophioblennius steindachneri	OBIS
Halichoeres dispilus	OBIS
Acanthurus xanthopterus	OBIS
Rhincodon typus	OBIS
Stegastes beebei	OBIS
Lutjanus viridis	OBIS
Plagiotremus azaleus	OBIS
Cephalopholis panamensis	OBIS
Lutjanus argentiventris	OBIS
Arothron meleagris	OBIS
Mobula birostris	OBIS
Cirrhitichthys oxycephalus	OBIS
Cephalopholis colonus	OBIS
Dermatolepis dermatolepis	OBIS
Stegastes arcifrons	OBIS
Serranus psittacinus	OBIS
Apogon atradorsatus	OBIS
Azurina atrilobata	OBIS
Halichoeres nicholsi	OBIS
Cirrhitus rivulatus	OBIS
Scarus rubroviolaceus	OBIS
Tylosurus acus	OBIS
Abudefduf troschelii	OBIS
Mugil thoburni	OBIS
Seriola rivoliana	OBIS
Acanthocybium solandri	OBIS
Sphoeroides annulatus	OBIS
Zanclus cornutus	OBIS
Melichthys niger	OBIS
Chaetodon humeralis	OBIS
Canthigaster punctatissima	OBIS
Scorpaena mystes	OBIS
Semicossyphus darwini	OBIS
