Species	Source
Pseudocharopinus dentatus	GBIF
Neocallichirus manningi	GBIF
Metacarcinus gracilis	GBIF
Neocalanus cristatus	GBIF
Scolecithricella minor	GBIF
Pandalus dispar	GBIF
Argis dentata	GBIF
Monocorophium insidiosum	GBIF
Protohyale lamberti	GBIF
Paraphoxus communis	GBIF
Pandalus goniurus	GBIF
Ampelisca macrocephala	GBIF
Gennadas propinquus	GBIF
Hyperia medusarum	GBIF
Pasiphaea tarda	GBIF
Ampelisca pugetica	GBIF
Cumella vulgaris	GBIF
Metacarcinus magister	GBIF
Eualus pusiolus	GBIF
Protohyale hiwatarii	GBIF
Pagurus stevensae	GBIF
Photis californica	GBIF
Apohyale grandicornis	GBIF
Melita oregonensis	GBIF
Argissa hamatipes	GBIF
Oligochinus lighti	GBIF
Alloniscus perconvexus	GBIF
Gaetanus minutus	GBIF
Acartia clausi	GBIF
Munna fernaldi	GBIF
Goodingius subadhaerens	GBIF
Microsetella rosea	GBIF
Idotea urotoma	GBIF
Paramoera suchaneki	GBIF
Speloeophorus pontifer	GBIF
Metridia brevicauda	GBIF
Orthopagurus minimus	GBIF
Spirontocaris sica	GBIF
Metacrangon spinosissima	GBIF
Parallorchestes americana	GBIF
Pagurus quaylei	GBIF
Liriopsis pygmaea	GBIF
Hymenodora gracilis	GBIF
Cheirimedeia zotea	GBIF
Acanthephyra curtirostris	GBIF
Hymenodora glacialis	GBIF
Pennella balaenoptera	GBIF
Lebbeus catalepsis	GBIF
Achelous xantusii	GBIF
Paramoera bousfieldi	GBIF
Maera fusca	GBIF
Oithona setigera	GBIF
Haplostoma albicatum	GBIF
Betaeus setosus	GBIF
Hyalella azteca	GBIF
Homeognathia flemingi	GBIF
Procambarus acutus	GBIF
Botryllophilus bamfieldensis	GBIF
Sternostylus iaspis	GBIF
Eucalanus californicus	GBIF
Cancer pagurus	GBIF
Armadilloniscus coronacapitalis	GBIF
Harpiniopsis fulgens	GBIF
Campylaspis nodulosa	GBIF
Caprella alaskana	GBIF
Tritella laevis	GBIF
Monocorophium carlottensis	GBIF
Ianiropsis analoga	GBIF
Protomedeia articulata	GBIF
Paguristes ulreyi	GBIF
Ianiropsis tridens	GBIF
Stegocephalus cascadiensis	GBIF
Munna chromatocephala	GBIF
Pseudomma truncatum	GBIF
Alamprops carinatus	GBIF
Haemobaphes intermedius	GBIF
Rhachotropis boreopacifica	GBIF
Sergestes atlanticus	GBIF
Carinonajna botanica	GBIF
Desdimelita barnardi	GBIF
Elassochirus cavimanus	GBIF
Exosphaeroma russellhansoni	GBIF
Harpacticus spinulosus	GBIF
Robertsonia normani	GBIF
Thysanopoda cornuta	GBIF
Lepeophtheirus nordmannii	GBIF
Thysanoessa inspinata	GBIF
Nicippe tumida	GBIF
Metacrangon variabilis	GBIF
Carinonajna bispinosa	GBIF
Apolochus litoralis	GBIF
Najna parva	GBIF
Stygobromus quatsinensis	GBIF
Gnathopleustes trichodus	GBIF
Aegiochus symmetrica	GBIF
Kamptopleustes spinosus	GBIF
Boreomysis arctica	GBIF
Crassicorophium crassicorne	GBIF
Protohyale oculata	GBIF
Arietellus plumifer	GBIF
Elasmopus antennatus	GBIF
Ramellogammarus campestris	GBIF
Hargeria rapax	GBIF
Monoculodes latimanus	GBIF
Caprella equilibra	GBIF
Desdimelita microdentata	GBIF
Chondrochelia savignyi	GBIF
Pleusymtes pacifica	GBIF
Eucopia australis	GBIF
Byblis veleronis	GBIF
Campylaspis rufa	GBIF
Caprella drepanochir	GBIF
Praeclavella parva	GBIF
Ianiropsis epilittoralis	GBIF
Trachypleustes vancouverensis	GBIF
Munna stephenseni	GBIF
Ampelisca lobata	GBIF
Aristias japonicus	GBIF
Notostomus japonicus	GBIF
Primno brevidens	GBIF
Dynamene dilatata	GBIF
Gnathopleustes den	GBIF
Jassa shawi	GBIF
Munna spinifrons	GBIF
Jassa borowskyae	GBIF
Caprella natalensis	GBIF
Eudorellopsis biplicata	GBIF
Aetideus armatus	GBIF
Synidotea pettiboneae	GBIF
Dajus mysidis	GBIF
Lebbeus microceros	GBIF
Aristias veleronis	GBIF
Platycyamus flaviscutatus	GBIF
Cyamus ceti	GBIF
Pseudopeniculus asinus	GBIF
Excirolana linguifrons	GBIF
Hyas coarctatus	GBIF
Caprella gracilior	GBIF
Leptostylis longimana	GBIF
Hamaticolax occultus	GBIF
Metacaprella anomala	GBIF
Locustogammarus levingsi	GBIF
Gnathopleustes pugettensis	GBIF
Lepidepecreum gurjanovae	GBIF
Cyamus kessleri	GBIF
Eriosachila orri	GBIF
