"ASV_id","Sample_name","BestTaxon","Class","nReads","name_match_type","domain","phylum","class","order","family","genus","species","before_domain","after_domain","before_phylum","after_phylum","before_class","after_class","before_order","after_order","before_family","after_family","before_genus","after_genus","before_species","after_species","regatta_match_rank","after_scientific_name"
"row_365","RL2501_F016_1_MV1","Prionace glauca","Chondrichthyes",14,"scientific name","Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca","Eukaryota","Eukaryota","Chordata","Chordata","Chondrichthyes","Chondrichthyes","Carcharhiniformes","Carcharhiniformes","Carcharhinidae","Carcharhinidae","Prionace","Prionace","Prionace glauca","Prionace glauca","species","Prionace glauca"
"row_366","RL2501_F016_1_MV1","Sebastes","Actinopteri",894,"scientific name","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA,"Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Sebastidae","Sebastidae","Sebastes","Sebastes",NA,NA,"genus","Sebastes"
"row_367","RL2501_F016_1_MV1","Stomiidae","Actinopteri",8182,"scientific name","Eukaryota","Chordata","Actinopteri","Stomiiformes","Stomiidae",NA,NA,"Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Stomiiformes","Stomiiformes","Stomiidae","Stomiidae",NA,NA,NA,NA,"family","Stomiidae"
"row_368","RL2501_F016_1_MV1","Symbolophorus californiensis","Actinopteri",294,"scientific name","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Myctophiformes","Myctophiformes","Myctophidae","Myctophidae","Symbolophorus","Symbolophorus","Symbolophorus californiensis","Symbolophorus californiensis","species","Symbolophorus californiensis"
"row_369","RL2501_F016_1_MV1",NA,NA,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"row_370","RL2501_F016_2_MV1","Auxis rochei","Actinopteri",437,"scientific name","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Auxis","Auxis rochei","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Scombriformes","Scombriformes","Scombridae","Scombridae","Auxis","Auxis","Auxis rochei","Auxis rochei","species","Auxis rochei"
"row_371","RL2501_F016_2_MV1","Ceratoscopelus","Actinopteri",221,"scientific name","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA,"Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Myctophiformes","Myctophiformes","Myctophidae","Myctophidae","Ceratoscopelus","Ceratoscopelus",NA,NA,"genus","Ceratoscopelus"
"row_372","RL2501_F016_2_MV1","Cololabis saira","Actinopteri",125,"scientific name","Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Cololabis","Cololabis saira","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Beloniformes","Beloniformes","Belonidae","Belonidae","Cololabis","Cololabis","Cololabis saira","Cololabis saira","species","Cololabis saira"
"row_373","RL2501_F016_2_MV1","Cyclothone acclinidens","Actinopteri",91,"scientific name","Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone acclinidens","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Stomiiformes","Stomiiformes","Gonostomatidae","Gonostomatidae","Cyclothone","Cyclothone","Cyclothone acclinidens","Cyclothone acclinidens","species","Cyclothone acclinidens"
"row_374","RL2501_F016_2_MV1","Delphinidae","Mammalia",543,"scientific name","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA,"Eukaryota","Eukaryota","Chordata","Chordata","Mammalia","Mammalia","Artiodactyla","Artiodactyla","Delphinidae","Delphinidae",NA,NA,NA,NA,"family","Delphinidae"
