"Species","Source"
"Themisto compressa","GBIF"
"Austruca perplexa","GBIF"
"Discorsopagurus schmitti","GBIF"
"Linuparus vancouverensis","GBIF"
"Bathycalliax geomar","GBIF"
"Dulichiella appendiculata","GBIF"
"Americhelidium rectipalmum","GBIF"
"Diacyclops nanus","GBIF"
"Munidopsis cascadia","GBIF"
"Syrrhoites columbiae","GBIF"
"Herrmannella columbiae","GBIF"
"Synidotea consolidata","GBIF"
"Benthoxynus spiculifer","GBIF"
"Pentidotea wosnesenskii","GBIF"
"Harpiniopsis triplex","GBIF"
"Monocorophium uenoi","GBIF"
"Paguristes sayi","GBIF"
"Opisa eschrichtii","GBIF"
"Eudorella emarginata","GBIF"
"Pardalisca cuspidata","GBIF"
"Protomedeia grandimana","GBIF"
"Pinnixa scamit","GBIF"
"Zeuxo kurilensis","GBIF"
"Rhepoxynius heterocuspidatus","GBIF"
"Chondracanthus gracilis","GBIF"
"Cancer borealis","GBIF"
"Cheirimedeia macrodactyla","GBIF"
"Planes minutus","GBIF"
"Diastylis quadriplicata","GBIF"
"Byblis bathyalis","GBIF"
"Heptacarpus moseri","GBIF"
"Onychocorycaeus catus","GBIF"
"Attheyella idahoensis","GBIF"
"Herpyllobius haddoni","GBIF"
"Monothula subtilis","GBIF"
"Eualus suckleyi","GBIF"
"Monocorophium insidiosum","GBIF"
"Argis alaskensis","GBIF"
"Acartia longiremis","GBIF"
"Spirontocaris prionota","GBIF"
"Pentidotea aculeata","GBIF"
"Neocalanus cristatus","GBIF"
"Cheirimedeia zotea","GBIF"
"Hyas lyratus","GBIF"
"Orthione griffenis","GBIF"
"Pandalus goniurus","GBIF"
"Paracrangon echinata","GBIF"
"Scleroplax schmitti","GBIF"
"Haliophasma geminatum","GBIF"
"Pandalus dispar","GBIF"
"Themisto pacifica","GBIF"
"Pugettia foliata","GBIF"
"Gaetanus minutus","GBIF"
"Parallorchestes americana","GBIF"
"Romaleon branneri","GBIF"
"Porcellio scaber","GBIF"
"Eogammarus confervicolus","GBIF"
"Paramoera bousfieldi","GBIF"
"Ditrichocorycaeus anglicus","GBIF"
"Idotea urotoma","GBIF"
"Romaleon antennarium","GBIF"
"Oniscus asellus","GBIF"
"Procambarus clarkii","GBIF"
"Pagurus hemphilli","GBIF"
"Hyperia medusarum","GBIF"
"Idotea fewkesi","GBIF"
"Littorophiloscia richardsonae","GBIF"
"Hyalella azteca","GBIF"
"Pentidotea resecata","GBIF"
