"ASV_id","domain","phylum","class","order","family","genus","species"
"BerryCrust_0000279",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000280",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000281",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000282",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000283",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000284",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000285",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000286",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000287","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000288","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000289",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000290",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000291",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000292",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000293",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000294",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000295",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000296","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000297",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000298",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000299",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000300",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000301",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000302",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000303",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000304",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000305",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000306",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000307",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000308",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000309",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000310","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000311",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000312",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000313",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000314",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000315",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000316",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000317",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000318",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000319",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000320",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000321",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000322","Eukaryota",NA,NA,NA,NA,NA,NA
"BerryCrust_0000323",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000324",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000325",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000326",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000327",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000328",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000329",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000330",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000331",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000332",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000333",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000334",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000335",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000336",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000337",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000338",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000339",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000340",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000341",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000342",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000343",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000344",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000345","Eukaryota",NA,NA,NA,NA,NA,NA
"BerryCrust_0000346",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000347",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000348",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000349",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000350",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000351",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000352",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000353",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000354",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000355",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000356",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000357",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000358",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000359",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000360",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000361",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000362",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000363",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000364",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000365",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000366",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000367",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000368",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000369",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000370",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000371",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000372",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000373",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000374",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000375",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000376",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000377",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000378",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000379",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000380",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000381",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000382",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000383",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000384",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000385",NA,NA,NA,NA,NA,NA,NA
