"ASV_id","domain_global","phylum_global","class_global","order_global","family_global","genus_global","species_global","pct_id_global","TAXID","SCIENTIFIC_NAME","COUNT","sintax","domain_local","phylum_local","class_local","order_local","family_local","genus_local","species_local","pct_id_local","pass1_winner","pass2_triggered","preferred_pctid","preferred_database","preferred_domain","preferred_phylum","preferred_class","preferred_order","preferred_family","preferred_genus","preferred_species","preferred_scientific_name"
"MiFish_0000498",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,31,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000499","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",98.2456140350877,"48193","Mugil cephalus",13,"d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_cephalus","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",98.2,"global",TRUE,98.2456140350877,"lca_global_v_local","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","Mugil cephalus"
"MiFish_0000500",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,12,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000501","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Caranx","Caranx hippos",100,"173312","Caranx hippos",7206,"d:Eukaryota,p:Chordata,c:Actinopteri,o:Carangiformes,f:Carangidae,g:Caranx,s:Caranx_hippos","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Caranx","Caranx hippos",100,"local",FALSE,100,"local","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Caranx","Caranx hippos","Caranx hippos"
"MiFish_0000502","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus",98.8235294117647,"168377","Sphoeroides annulatus",38,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,98.8235294117647,"global","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus","Sphoeroides annulatus"
"MiFish_0000503","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Balistidae","Sufflamen","Sufflamen verres",99.4252873563218,"882189","Sufflamen verres",448,"d:Eukaryota,p:Chordata,c:Actinopteri,o:Tetraodontiformes,f:Balistidae,g:Sufflamen,s:Sufflamen_fraenatum","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Balistidae","Sufflamen","Sufflamen fraenatum",98.3,"global",TRUE,99.4252873563218,"lca_global_v_local","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Balistidae","Sufflamen",NA,"Sufflamen"
"MiFish_0000504",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,41,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000505","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Halichoeres","Halichoeres dispilus",97.6047904191617,"317475","Halichoeres dispilus",4949,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,97.6047904191617,"global","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Halichoeres","Halichoeres dispilus","Halichoeres dispilus"
"MiFish_0000506",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000507","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera",97.6331360946746,"482919","Orthopristis chrysoptera",11,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,97.6331360946746,"global","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera","Orthopristis chrysoptera"
"MiFish_0000508",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,795,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000509","Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Hyporthodus","Hyporthodus octofasciatus",97.6331360946746,"327774","Hyporthodus octofasciatus",192,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,97.6331360946746,"global","Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Hyporthodus","Hyporthodus octofasciatus","Hyporthodus octofasciatus"
"MiFish_0000510",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,188,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000511",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000512",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,14,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000513","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA,98.2248520710059,"40493","Lutjanus",53,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,98.2248520710059,"global","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA,"Lutjanus"
