"ASV_id","before_domain","after_domain","before_phylum","after_phylum","before_class","after_class","before_order","after_order","before_family","after_family","before_genus","after_genus","before_species","after_species","match_rank"
"MiFish_0001188","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Pleuronectiformes","Pleuronectiformes","Bothidae","Bothidae","Bothus","Bothus","Bothus robinsi",NA,"genus"
"MiFish_0001190","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Pleuronectiformes","Pleuronectiformes","Bothidae","Bothidae","Bothus","Bothus","Bothus robinsi",NA,"genus"
"MiFish_0001192","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Beloniformes","Beloniformes","Hemiramphidae","Hemiramphidae","Hyporhamphus","Hyporhamphus","Hyporhamphus yuri",NA,"genus"
"MiFish_0001194","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri",NA,NA,"Pomacentridae","Pomacentridae","Abudefduf","Abudefduf","Abudefduf taurus",NA,"genus"
"MiFish_0001196","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Carangiformes","Carangiformes","Carangidae","Carangidae","Caranx","Caranx","Caranx crysos",NA,"genus"
"MiFish_0001201","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Beloniformes","Beloniformes","Belonidae","Belonidae","Platybelone",NA,"Platybelone argala",NA,"family"
"MiFish_0001232","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri",NA,NA,"Pomacentridae","Pomacentridae","Stegastes","Stegastes","Stegastes rectifraenum",NA,"genus"
"MiFish_0001233","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri",NA,NA,"Pomacentridae","Pomacentridae","Abudefduf","Abudefduf","Abudefduf taurus",NA,"genus"
"MiFish_0001234","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri",NA,NA,"Pomacentridae","Pomacentridae","Abudefduf","Abudefduf","Abudefduf taurus",NA,"genus"
"MiFish_0001243","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Beloniformes","Beloniformes","Hemiramphidae","Hemiramphidae","Hyporhamphus","Hyporhamphus","Hyporhamphus yuri",NA,"genus"
"MiFish_0001268","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0001278","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
