"ASV_id","domain","phylum","class","order","family","genus","species","regatta_match_rank"
"MiFish_0000988",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000979",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000982",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000992",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000978",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000980",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001002",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001005",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000963",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001023","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000987",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000999",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000986","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber",NA,"genus"
"MiFish_0000969",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001012",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000995",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001008",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001025",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001010",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001030","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0001024",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001027",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001013",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001016",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001017",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001004",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001019",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001006",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001009",NA,NA,NA,NA,NA,NA,NA,NA
