"ASV_id","pct_id","count","obitools_name","domain","phylum","class","order","family","genus","species","regatta_match_rank"
"MiFish_0001001",0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001002",99.4011976047904,20,"Thalassoma lucasanum","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Thalassoma","Thalassoma lucasanum","species"
"MiFish_0001003",99.4011976047904,37,"Thalassoma lucasanum","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Thalassoma","Thalassoma lucasanum","species"
"MiFish_0001004",0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001005",98.2248520710059,18,"Lutjanus","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA,"genus"
"MiFish_0001006",0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001007",98.8165680473373,23,"Abudefduf","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA,"genus"
"MiFish_0001008",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001009",0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001010",0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001011",98.8235294117647,42,"Sphoeroides annulatus","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus","species"
"MiFish_0001012",99.4082840236686,22,"Gerres cinereus","Eukaryota","Chordata","Actinopteri","Gerreiformes","Gerreidae","Gerres","Gerres cinereus","species"
"MiFish_0001013",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001014",0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001015",97.6047904191617,175,"Halichoeres dispilus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Halichoeres","Halichoeres dispilus","species"
"MiFish_0001016",97.0059880239521,20,"Halichoeres dispilus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Halichoeres","Halichoeres dispilus","species"
"MiFish_0001017",0,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001018",0,73,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001019",97.0414201183432,170,"Lutjanus argentimaculatus","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA,"genus"
"MiFish_0001020",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001021",97.0414201183432,180,"Epinephelus bontoides","Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Epinephelus",NA,"genus"
"MiFish_0001022",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001023",98.8304093567252,12,"Mugil cephalus","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0001024",99.4318181818182,31,"Chanos chanos","Eukaryota","Chordata","Actinopteri","Gonorynchiformes","Chanidae","Chanos","Chanos chanos","species"
"MiFish_0001025",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
