"""Actaea"" angusta"
Diarthrodella parorbiculata
Diastylis laevis
Diastyloides atlanticus
Dichelina seticauda
Dicoides areolatus
Dicranodromia simplicia
Dilocarcinus pagei
Dilocarcinus septemdentatus
Dinemoura discrepans
Dinemoura latifolia
Diogenes custos
Diogenes denticulatus
Diogenes dubius
Diogenes laevicarpus
Diogenes nitidimanus
Diogenes pallescens
Diogenes pugilator
Dioithona oculata
Dioithona rigida
Diploexochus echinatus
Dipterosaccus indicus
Dirivultus spinigulatus
Discias atlanticus
Discias serrifer
Disco inflatus
Discorsotheres spondyli
Disparella valida
Disseta palumbii
Dissodactylus xantusi
Distolambrus maltzami
Ditrichocorycaeus dubius
Ditrichocorycaeus lubbocki
Ditrichocorycaeus subtilis
Ditrichocorycaeus tenuis
Doclea armata
Doclea canalifera
Doclea macracanthus
Dolichiscus cornutus
Dolicholana elongata
Dolops ranarum
Dolos petraeus
Domecia acanthophora
Domecia glabra
Domecia hispida
Dorhynchus thomsoni
Doridicola aculeatus
Doridicola connexus
Doridicola echinasteris
Doridicola lumarius
Doridicola petalopus
Doridicola praelongipes
Doridicola rostripes
Doridicola spinulifer
Dorippe frascone
Dorippe quadridens
Dorippoides facchino
Dorodotes reflexus
